Writer;Pages;Rating;Rating_Count;Review_Count;Title;Genre
Jack Kerouac;307 pages;3.63;301429;13085;On the Road;Classics|Fiction|Travel|Literature
Christopher Paolini;503 pages;3.88;1242665;19685;Eragon;Fantasy|Young Adult|Fiction|Fantasy|Dragons
Eric Carle;26 pages;4.29;338885;6637;The Very Hungry Caterpillar;Childrens|Picture Books|Childrens
Mitch Albom;210 pages;4.08;658091;21367;Tuesdays with Morrie;Nonfiction|Autobiography|Memoir|Biography|Inspirational
Daniel Keyes;311 pages;4.09;389448;13470;Flowers for Algernon;Fiction|Classics|Science Fiction|Young Adult
Carlos Ruiz Zafón;487 pages;4.26;360901;28152;The Shadow of the Wind;Fiction|Historical|Historical Fiction|Mystery|Fantasy
Patrick Rothfuss;662 pages;4.55;546719;33615;The Name of the Wind;Fantasy|Fiction|Fantasy|Epic Fantasy
John Green;221 pages;4.06;941603;50857;Looking for Alaska;Young Adult|Fiction|Contemporary|Romance
Mark Haddon;226 pages;3.86;1007662;39191;The Curious Incident of the Dog in the Night-Time;Fiction|Mystery|Young Adult|Contemporary
Milan Kundera;320 pages;4.09;277895;12218;The Unbearable Lightness of Being;Fiction|Classics|Philosophy|Literature|Novels
Franz Kafka;201 pages;3.8;489130;12513;The Metamorphosis;Classics|Fiction|Fantasy|Literature|Short Stories|Philosophy
Umberto Eco;536 pages;4.12;250865;6993;The Name of the Rose;Fiction|Historical|Historical Fiction|Mystery|Classics|Historical|Literature
Nathaniel Hawthorne;238 pages;3.38;612448;12647;The Scarlet Letter;Classics|Fiction|Historical|Historical Fiction|Academic|School
J.K. Rowling;652 pages;4.55;1991117;31620;Harry Potter and the Half-Blood Prince;Fantasy|Young Adult|Fiction
Becca Fitzpatrick;391 pages;3.99;503810;23115;Hush, Hush;Young Adult|Fantasy|Fantasy|Paranormal|Paranormal|Angels|Romance
Mitch Albom;196 pages;3.91;501872;17931;The Five People You Meet in Heaven;Fiction|Inspirational|Contemporary|Fantasy
Mario Puzo;448 pages;4.37;288663;6793;The Godfather;Fiction|Classics|Mystery|Crime|Thriller|Historical|Historical Fiction
Truman Capote;343 pages;4.06;444758;13405;In Cold Blood;Nonfiction|Classics|Crime|True Crime|Mystery|Crime|Mystery
Leo Tolstoy;964 pages;4.03;530949;19943;Anna Karenina;Classics|Fiction|Cultural|Russia|Romance
Larry McMurtry;945 pages;4.48;127633;6037;Lonesome Dove;Fiction|Historical|Historical Fiction|Westerns|Classics|Historical
Dr. Seuss;61 pages;4.16;344152;4850;The Cat in the Hat;Childrens|Childrens|Picture Books|Classics|Fiction
Chuck Palahniuk;218 pages;4.2;423710;12321;Fight Club;Fiction|Contemporary|Classics|Thriller
Louis Sachar;233 pages;3.94;843140;17602;Holes;Young Adult|Fiction|Childrens|Childrens|Middle Grade
Frank Herbert;528 pages;4.21;585599;15283;Dune;Science Fiction|Fiction|Fantasy|Classics
Laura Ingalls Wilder;2700 pages;4.33;132868;2080;The Little House Collection;Classics|Childrens|Historical|Historical Fiction|Fiction|Young Adult
Neil Gaiman;635 pages;4.11;618465;32593;American Gods;Fantasy|Fiction|Fantasy|Urban Fantasy|Fantasy|Mythology|Science Fiction
Alan Moore;416 pages;4.35;440759;11728;Watchmen;Sequential Art|Graphic Novels|Sequential Art|Comics|Fiction|Science Fiction|Fantasy
Dante Alighieri;798 pages;4.07;96903;3127;The Divine Comedy;Classics|Poetry|Fiction|Literature
Reduced Shakespeare Company;137 pages;4.47;7949;127;The Compleat Works of Wllm Shkspr (abridged);Plays|Classics|Humor|Fiction|Drama|Plays|Theatre
J.M. Barrie;176 pages;4.09;222805;8658;Peter Pan;Classics|Fantasy|Fiction|Childrens
Patrick Süskind;263 pages;4.01;257570;11495;Perfume: The Story of a Murderer;Fiction|Historical|Historical Fiction|Classics|Horror|Mystery
Erich Maria Remarque;296 pages;3.94;306844;8164;All Quiet on the Western Front;Classics|Fiction|Historical|Historical Fiction|War|Literature
C.S. Lewis;206 pages;4.2;1801850;17420;The Lion, the Witch and the Wardrobe;Fantasy|Classics|Fiction|Young Adult|Childrens
